,Department,Course,Section,Instructor,Time
4168,MATH,409,01,"Shapiro, Jonathan E.",MTRF 01:10 PM - 02:00 PM
4141,MATH,412,01,"Patton, Linda J.",MTWR 04:10 PM - 05:00 PM
4145,MATH,413,01,"Pearse, Erin Peter James",MTRF 01:10 PM - 02:00 PM
4146,MATH,413,02,"Pearse, Erin Peter James",MTRF 02:10 PM - 03:00 PM
4100,MATH,419,01,"Grundmeier, Todd A.",MW 02:10 PM - 04:00 PM
4059,MATH,422,01,"Borzellino, Joseph E.",M 05:10 PM - 06:00 PM
4082,MATH,425,01,"Champney, Danielle D.",M 05:10 PM - 06:00 PM
4109,MATH,440,70,"Hamilton, Margaret E.",MTRF 10:10 AM - 11:00 AM
4083,MATH,442,01,"Champney, Danielle D.",MW 08:10 AM - 10:00 AM
4090,MATH,451,01,"Choboter, Paul F.",MTWR 10:10 AM - 11:00 AM
4084,MATH,461,01,"Champney, Danielle D.",T 11:10 AM - 12:00 PM
4065,MATH,461,04,"Borzellino, Joseph E.",N/A N/A - N/A
4091,MATH,461,05,"Choboter, Paul F.",N/A N/A - N/A
4085,MATH,461,07,"Champney, Danielle D.",N/A N/A - N/A
4101,MATH,461,08,"Grundmeier, Todd A.",N/A N/A - N/A
4105,MATH,461,09,"Gu, Caixing",N/A N/A - N/A
4121,MATH,461,13,"Kirk, Colleen M.",N/A N/A - N/A
4142,MATH,461,17,"Patton, Linda J.",N/A N/A - N/A
4124,MATH,461,18,"Liese, Jeffrey E.",N/A N/A - N/A
4158,MATH,461,21,"Riley, Kate J.",N/A N/A - N/A
4174,MATH,461,25,"Sze, Lawrence H.",N/A N/A - N/A
4128,MATH,461,28,"Lin, Joyce Tzychiao",N/A N/A - N/A
4098,MATH,461,32,"Easton, Robert W.",N/A N/A - N/A
4066,MATH,462,04,"Borzellino, Joseph E.",N/A N/A - N/A
4093,MATH,462,05,"Choboter, Paul F.",N/A N/A - N/A
4099,MATH,462,06,"Easton, Robert W.",N/A N/A - N/A
4087,MATH,462,07,"Champney, Danielle D.",N/A N/A - N/A
4129,MATH,462,31,"Lin, Joyce Tzychiao",N/A N/A - N/A
4171,MATH,481,01,"Stankus, Mark",MTRF 08:10 AM - 09:00 AM
4172,MATH,481,03,"Stankus, Mark",MTRF 12:10 PM - 01:00 PM
4117,MATH,482,01,"Kaul, Anton",MTRF 12:10 PM - 01:00 PM
4030,MATH,491,01,"Borzellino, Joseph E.",N/A N/A - N/A
4162,MATH,500,06,"Samuel, Anthony John",N/A N/A - N/A
4078,MATH,500,07,"Brussel, Eric S.",N/A N/A - N/A
4118,MATH,502,01,"Kirk, Colleen M.",MW 06:10 PM - 08:00 PM
4104,MATH,520,01,"Gu, Caixing",MTRF 02:10 PM - 03:00 PM
4173,MATH,531,70,"Sze, Lawrence H.",MTRF 09:10 AM - 10:00 AM
4108,MATH,540,70,"Hamilton, Margaret E.",MTRF 10:10 AM - 11:00 AM
4237,MATH,P141,10,"Terry, Raymond D.",MTRF 03:10 PM - 04:00 PM
4221,MATH,P241,13,"McCaughey, Timothy Griffin",MTRF 02:10 PM - 03:00 PM
4177,MATH,P304,01,"Todorov, Todor D.",MTRF 10:10 AM - 11:00 AM
4178,MATH,P344,05,"Todorov, Todor D.",MTRF 02:10 PM - 03:00 PM
3599,MCRO,221,01,"Martinez, Nathaniel W.",TR 08:10 AM - 09:30 AM
3600,MCRO,221,02,"Martinez, Nathaniel W.",TR 09:40 AM - 11:00 AM
3718,MCRO,221,03,"Jew, Kara Lynn",TR 12:10 PM - 01:30 PM
3630,MCRO,221,04,"Vredevoe, Larisa K.",TR 01:40 PM - 03:00 PM
