,Department,Course,Section,Instructor,Time
361,AEPS,215,01,"Lynch, Melinda I.",R 03:10 PM - 04:00 PM
362,AEPS,215,02,"Lynch, Melinda I.",TR 04:10 PM - 07:00 PM
346,AEPS,244,01,"Wong, Jeffrey C.",MWF 10:10 AM - 11:00 AM
66,AEPS,244,02,"Liu, Bo",R 12:10 PM - 03:00 PM
67,AEPS,244,03,"Liu, Bo",F 12:10 PM - 03:00 PM
347,AEPS,304,01,"Wong, Jeffrey C.",MWF 12:10 PM - 01:00 PM
348,AEPS,304,02,"Wong, Jeffrey C.",R 03:10 PM - 06:00 PM
349,AEPS,304,03,"Wong, Jeffrey C.",R 03:10 PM - 06:00 PM
341,AEPS,312,11,"Walter, Virginia R.",N/A N/A - N/A
315,AEPS,327,01,"Headrick, David H.",MWF 10:10 AM - 11:00 AM
316,AEPS,327,02,"Headrick, David H.",R 12:10 PM - 03:00 PM
317,AEPS,327,03,"Headrick, David H.",R 03:10 PM - 06:00 PM
300,AEPS,339,01,"Steinmaus, Scott J.",N/A N/A - N/A
342,AEPS,350,01,"Walter, Virginia R.",MW 02:10 PM - 03:00 PM
343,AEPS,350,02,"Walter, Virginia R.",T 12:10 PM - 03:00 PM
325,AEPS,351,01,"Hoover, Benjamin K.",MWF 08:10 AM - 09:00 AM
326,AEPS,351,02,"Hoover, Benjamin K.",T 12:10 PM - 03:00 PM
327,AEPS,351,03,"Hoover, Benjamin K.",R 08:10 AM - 11:00 AM
328,AEPS,351,04,"Hoover, Benjamin K.",MWF 11:10 AM - 12:00 PM
329,AEPS,351,06,"Hoover, Benjamin K.",T 08:10 AM - 11:00 AM
355,AEPS,381,01,"Bush III, Elmer O.",TR 04:40 PM - 06:00 PM
356,AEPS,381,02,"Bush III, Elmer O.",R 12:10 PM - 03:00 PM
301,AEPS,400,10,"Steinmaus, Scott J.",N/A N/A - N/A
344,AEPS,400,16,"Walter, Virginia R.",F 03:10 PM - 05:00 PM
350,AEPS,404,01,"Wong, Jeffrey C.",N/A N/A - N/A
351,AEPS,404,02,"Wong, Jeffrey C.",N/A N/A - N/A
302,AEPS,406,01,"Steinmaus, Scott J.",MW 03:10 PM - 04:30 PM
303,AEPS,406,02,"Steinmaus, Scott J.",T 03:10 PM - 06:00 PM
304,AEPS,421,01,"Brown, J. Wyatt",MWF 11:10 AM - 12:00 PM
305,AEPS,421,02,"Brown, J. Wyatt",R 12:10 PM - 03:00 PM
306,AEPS,421,03,"Brown, J. Wyatt",R 03:10 PM - 06:00 PM
330,AEPS,427,01,"Ivors, Kelly L.",TR 05:40 PM - 07:00 PM
331,AEPS,427,02,"Ivors, Kelly L.",R 08:10 AM - 11:00 AM
318,AEPS,431,01,"Headrick, David H.",MWF 01:10 PM - 02:00 PM
319,AEPS,431,02,"Headrick, David H.",T 12:10 PM - 03:00 PM
337,AEPS,445,01,"Tubeileh, Ashraf",MWF 09:10 AM - 10:00 AM
338,AEPS,445,02,"Tubeileh, Ashraf",R 03:10 PM - 05:00 PM
339,AEPS,461,02,"Tubeileh, Ashraf",M 04:40 PM - 06:30 PM
307,AEPS,462,02,"Brown, J. Wyatt",N/A N/A - N/A
314,AEPS,462,04,"Garner, Lauren C.",N/A N/A - N/A
332,AEPS,462,05,"Ivors, Kelly L.",N/A N/A - N/A
320,AEPS,462,06,"Headrick, David H.",N/A N/A - N/A
308,AEPS,598,04,"Garner, Lauren C.",N/A N/A - N/A
345,AEPS,P244,01,"Wong, Jeffrey C.",MWF 10:10 AM - 11:00 AM
65,AEPS,P244,03,"Liu, Bo",F 12:10 PM - 03:00 PM
3131,AERO,215,01,"Abercromby, Kira Jorgensen",MW 12:10 PM - 03:00 PM
3163,AERO,215,02,"Harty, Tyler Alexander",TR 08:10 AM - 11:00 AM
3150,AERO,303,03,"Kabir, Kaveh",MTWR 08:10 AM - 09:00 AM
3151,AERO,303,04,"Kabir, Kaveh",MTWR 09:10 AM - 10:00 AM
3135,AERO,304,01,"Doig, Graham Colin",T 11:10 AM - 12:00 PM
3168,AERO,304,03,"Ruiz, Josue Otoniel",T 12:10 PM - 03:00 PM
3160,AERO,304,04,"Baldovin, Brandon James",T 03:10 PM - 06:00 PM
3167,AERO,304,05,"Paul, Matthew G.",W 06:10 PM - 09:00 PM
3164,AERO,304,06,"Johnson, Daniel Kenneth",R 12:10 PM - 03:00 PM
3161,AERO,304,07,"Baldovin, Brandon James",R 03:10 PM - 06:00 PM
3162,AERO,304,08,"Guerra, Joel T.",F 08:10 AM - 11:00 AM
3156,AERO,310,01,"Wright, Bruce Ryan",MW 08:10 AM - 10:00 AM
3157,AERO,310,02,"Wright, Bruce Ryan",TR 09:10 AM - 11:00 AM
3158,AERO,310,03,"Wright, Bruce Ryan",TR 02:10 PM - 04:00 PM
3143,AERO,331,01,"Kolkailah, Faysal A.",MW 12:10 PM - 02:00 PM
3144,AERO,331,02,"Kolkailah, Faysal A.",MW 02:10 PM - 04:00 PM
3142,AERO,353,01,"Greig, Amelia Diane",MTWR 10:10 AM - 11:00 AM
3132,AERO,400,02,"Abercromby, Kira Jorgensen",N/A N/A - N/A
3146,AERO,400,08,"Mehiel, Eric A.",N/A N/A - N/A
3127,AERO,400,09,"Puig-Suari, Jordi",N/A N/A - N/A
3136,AERO,400,10,"Doig, Graham Colin",N/A N/A - N/A
3038,AERO,409,01,"Colvin, Kurt W.",M 10:10 AM - 12:00 PM
3039,AERO,409,02,"Colvin, Kurt W.",TR 08:10 AM - 11:00 AM
3147,AERO,420,01,"Mehiel, Eric A.",TR 12:10 PM - 02:00 PM
3152,AERO,433,01,"Kabir, Kaveh",F 12:10 PM - 03:00 PM
3153,AERO,433,02,"Kabir, Kaveh",F 03:10 PM - 06:00 PM
3140,AERO,444,01,"Drake, Aaron Geoffrey",MWF 12:10 PM - 03:00 PM
3141,AERO,444,02,"Drake, Aaron Geoffrey",MWF 03:10 PM - 06:00 PM
3128,AERO,448,01,"Puig-Suari, Jordi",MWF 12:10 PM - 03:00 PM
3129,AERO,448,02,"Puig-Suari, Jordi",MWF 03:10 PM - 06:00 PM
3165,AERO,465,01,"Maclean, Steven Murphy",W 08:10 AM - 11:00 AM
3166,AERO,465,02,"Maldonado, Daniel",F 08:10 AM - 11:00 AM
3137,AERO,500,07,"Doig, Graham Colin",N/A N/A - N/A
3145,AERO,532,01,"Kolkailah, Faysal A.",TR 02:10 PM - 03:00 PM
2497,AERO,532,03,"Elghandour, Eltahry I.",MW 06:10 PM - 09:00 PM
2498,AERO,532,04,"Elghandour, Eltahry I.",TR 03:10 PM - 06:00 PM
3133,AERO,557,01,"Abercromby, Kira Jorgensen",TR 12:10 PM - 02:00 PM
3148,AERO,560,01,"Mehiel, Eric A.",MW 10:10 AM - 12:00 PM
3138,AERO,568,02,"Doig, Graham Colin",TR 12:10 PM - 03:00 PM
3134,AERO,599,02,"Abercromby, Kira Jorgensen",N/A N/A - N/A
3130,AERO,599,06,"Puig-Suari, Jordi",N/A N/A - N/A
3139,AERO,599,09,"Doig, Graham Colin",N/A N/A - N/A
3149,AERO,599,10,"Mehiel, Eric A.",N/A N/A - N/A
276,AG,360,70,"Lukehart, Raven Marie",TR 08:10 AM - 09:30 AM
277,AG,360,71,"Lukehart, Raven Marie",T 03:10 PM - 06:00 PM
278,AG,360,72,"Lukehart, Raven Marie",W 03:10 PM - 06:00 PM
333,AG,452,02,"Shelton, Mark D.",WF 10:10 AM - 12:00 PM
16,AG,500,10,"Flores, Robert A.",N/A N/A - N/A
334,AG,581,01,"Shelton, Mark D.",W 03:10 PM - 04:00 PM
321,AG,598,05,"Headrick, David H.",N/A N/A - N/A
209,AG,599,04,"Edwards, Mark Stephen",N/A N/A - N/A
131,AGB,202,02,"Connolly, Cristina Aurora",MW 04:10 PM - 06:00 PM
164,AGB,202,03,"Sawyer, Douglas J.",TR 06:10 PM - 08:00 PM
140,AGB,212,01,"Howard, Wayne H.",MW 04:10 PM - 06:00 PM
141,AGB,212,02,"Howard, Wayne H.",MW 12:10 PM - 02:00 PM
147,AGB,212,03,"MacDougall, Neal A.",MW 10:10 AM - 12:00 PM
165,AGB,214,01,"Slayter, Erik C.",MW 07:40 AM - 09:00 AM
166,AGB,214,02,"Slayter, Erik C.",MW 12:10 PM - 01:00 PM
167,AGB,214,03,"Slayter, Erik C.",MW 01:10 PM - 02:00 PM
168,AGB,214,04,"Slayter, Erik C.",TR 07:40 AM - 09:00 AM
169,AGB,214,05,"Slayter, Erik C.",TR 12:10 PM - 01:00 PM
170,AGB,214,06,"Slayter, Erik C.",TR 01:10 PM - 02:00 PM
145,AGB,260,01,"Hurley, Sean P.",MW 10:10 AM - 12:00 PM
171,AGB,260,02,"Slayter, Erik C.",TR 09:10 AM - 11:00 AM
154,AGB,260,03,"Rudi, Jeta",MW 02:10 PM - 04:00 PM
156,AGB,301,01,"Schroeter, Christiane",TR 09:10 AM - 11:00 AM
139,AGB,301,02,"Higgins, Lindsey M.",TR 12:10 PM - 02:00 PM
129,AGB,308,02,"Cai, Xiaowei",MW 12:10 PM - 02:00 PM
135,AGB,310,01,"Delbridge, Timothy Andrew",MW 02:10 PM - 04:00 PM
130,AGB,311,01,"Cai, Xiaowei",MW 10:10 AM - 12:00 PM
148,AGB,312,02,"MacDougall, Neal A.",MW 02:10 PM - 04:00 PM
149,AGB,312,03,"MacDougall, Neal A.",TR 02:10 PM - 04:00 PM
146,AGB,313,01,"Hurley, Sean P.",MW 12:10 PM - 02:00 PM
128,AGB,313,02,"Ahern, James J.",TR 09:10 AM - 11:00 AM
137,AGB,318,01,"Hamilton, Lynn L.",N/A N/A - N/A
142,AGB,322,01,"Howard, Wayne H.",TR 12:10 PM - 01:30 PM
143,AGB,322,02,"Howard, Wayne H.",T 04:10 PM - 06:00 PM
159,AGB,323,01,"Adam, Sandra L.",TR 09:40 AM - 11:00 AM
160,AGB,323,03,"Adam, Sandra L.",F 08:10 AM - 10:00 AM
161,AGB,323,04,"Adam, Sandra L.",TR 12:10 PM - 01:30 PM
162,AGB,323,05,"Adam, Sandra L.",F 10:10 AM - 12:00 PM
132,AGB,327,01,"Connolly, Cristina Aurora",TR 12:10 PM - 01:30 PM
133,AGB,327,02,"Connolly, Cristina Aurora",TR 04:10 PM - 05:00 PM
150,AGB,328,01,"Qenani, Eivis",MWF 10:10 AM - 11:00 AM
151,AGB,328,02,"Qenani, Eivis",MW 11:10 AM - 12:00 PM
152,AGB,328,03,"Qenani, Eivis",MWF 02:10 PM - 03:00 PM
153,AGB,328,04,"Qenani, Eivis",MW 03:10 PM - 04:00 PM
125,AGB,339,01,"Ramezani, Cyrus A.",N/A N/A - N/A
3159,AGB,369,01,"Wright, Christine A.",MW 12:10 PM - 02:00 PM
136,AGB,370,01,"Hamilton, Lynn L.",N/A N/A - N/A
138,AGB,400,02,"Higgins, Lindsey M.",N/A N/A - N/A
163,AGB,410,01,"Loehr, Hayley Nicole",TR 06:10 PM - 08:00 PM
134,AGB,411,01,"Delbridge, Timothy Andrew",M 08:10 AM - 10:00 AM
157,AGB,422,01,"Volpe III, Richard J.",MW 12:10 PM - 02:00 PM
158,AGB,425,02,"Volpe III, Richard J.",MW 02:10 PM - 04:00 PM
144,AGB,461,01,"Hurley, Sean P.",N/A N/A - N/A
124,AGB,463,02,"Ramezani, Cyrus A.",N/A N/A - N/A
155,AGB,470,02,"Schroeter, Christiane",TR 02:10 PM - 04:00 PM
18,AGC,102,70,"De Lay, Ann Marie",MW 08:10 AM - 09:00 AM
51,AGC,270,01,"Silcott, Megan Ann",TR 02:10 PM - 03:00 PM
33,AGC,301,01,"Vernon, J. Scott",TR 03:10 PM - 04:30 PM
34,AGC,301,02,"Vernon, J. Scott",R 08:10 AM - 11:00 AM
0,AGC,339,01,"Flores, Robert A.",N/A N/A - N/A
1,AGC,400,03,"Flores, Robert A.",N/A N/A - N/A
35,AGC,426,01,"Vernon, J. Scott",M 10:10 AM - 12:00 PM
36,AGC,426,02,"Vernon, J. Scott",WF 10:10 AM - 12:00 PM
2,AGC,461,01,"Flores, Robert A.",N/A N/A - N/A
3,AGC,461,70,"Flores, Robert A.",R 12:10 PM - 01:00 PM
4,AGC,462,01,"Flores, Robert A.",N/A N/A - N/A
5,AGC,462,70,"Flores, Robert A.",R 01:10 PM - 02:00 PM
19,AGED,102,70,"De Lay, Ann Marie",MW 08:10 AM - 09:00 AM
632,AGED,200,02,"Londo, Benjamin Joseph",N/A N/A - N/A
6,AGED,200,03,"Flores, Robert A.",N/A N/A - N/A
43,AGED,220,01,"Freeman, Sherri",T 12:10 PM - 02:00 PM
39,AGED,350,01,"Clark, Gerald Scott",T 08:10 AM - 10:00 AM
7,AGED,400,03,"Flores, Robert A.",N/A N/A - N/A
37,AGED,404,01,"Vernon, J. Scott",M 12:10 PM - 02:00 PM
38,AGED,404,02,"Vernon, J. Scott",W 12:10 PM - 02:00 PM
46,AGED,410,01,"Gorter, Erin Kirsten",TR 07:10 AM - 09:00 AM
26,AGED,424,01,"Swan, Benjamin Grant",N/A N/A - N/A
8,AGED,440,01,"Flores, Robert A.",N/A N/A - N/A
44,AGED,440,02,"Freeman, Sherri",N/A N/A - N/A
40,AGED,440,03,"Clark, Gerald Scott",N/A N/A - N/A
20,AGED,440,06,"De Lay, Ann Marie",N/A N/A - N/A
47,AGED,440,07,"Gorter, Erin Kirsten",N/A N/A - N/A
27,AGED,441,01,"Swan, Benjamin Grant",N/A N/A - N/A
52,AGED,460,02,"Silcott, Megan Ann",M 02:10 PM - 03:00 PM
9,AGED,461,01,"Flores, Robert A.",N/A N/A - N/A
28,AGED,461,05,"Swan, Benjamin Grant",N/A N/A - N/A
10,AGED,461,70,"Flores, Robert A.",R 12:10 PM - 01:00 PM
11,AGED,462,01,"Flores, Robert A.",N/A N/A - N/A
12,AGED,500,01,"Flores, Robert A.",N/A N/A - N/A
13,AGED,513,01,"Flores, Robert A.",N/A N/A - N/A
45,AGED,513,02,"Freeman, Sherri",N/A N/A - N/A
41,AGED,513,03,"Clark, Gerald Scott",N/A N/A - N/A
21,AGED,513,06,"De Lay, Ann Marie",N/A N/A - N/A
48,AGED,513,07,"Gorter, Erin Kirsten",N/A N/A - N/A
22,AGED,536,01,"De Lay, Ann Marie",M 03:10 PM - 06:00 PM
14,AGED,539,01,"Flores, Robert A.",N/A N/A - N/A
29,AGED,539,05,"Swan, Benjamin Grant",N/A N/A - N/A
23,AGED,539,06,"De Lay, Ann Marie",N/A N/A - N/A
15,AGED,580,01,"Flores, Robert A.",N/A N/A - N/A
30,AGED,580,05,"Swan, Benjamin Grant",N/A N/A - N/A
24,AGED,580,06,"De Lay, Ann Marie",N/A N/A - N/A
25,AGED,P102,70,"De Lay, Ann Marie",MW 08:10 AM - 09:00 AM
633,AGED,P200,02,"Londo, Benjamin Joseph",N/A N/A - N/A
1935,ANT,201,01,"Neill, Dawn Brown",MW 10:10 AM - 12:00 PM
1965,ANT,201,02,"Lewis, Jennifer J.",TR 09:10 AM - 11:00 AM
1922,ANT,201,03,"Carrigan, Coleen M.",TR 12:10 PM - 02:00 PM
1916,ANT,320,01,"Jones, Terry L.",MW 10:10 AM - 12:00 PM
1936,ANT,344,01,"Neill, Dawn Brown",MW 02:10 PM - 04:00 PM
1966,ANT,360,01,"Lewis, Jennifer J.",MW 10:10 AM - 12:00 PM
1967,ANT,360,02,"Lewis, Jennifer J.",MW 02:10 PM - 04:00 PM
1917,ANT,400,01,"Jones, Terry L.",N/A N/A - N/A
1968,ANT,425,01,"Lewis, Jennifer J.",TR 02:10 PM - 04:00 PM
1942,ANT,455,01,"Rucas, Stacey",MW 04:10 PM - 05:30 PM
1943,ANT,455,02,"Rucas, Stacey",MW 05:40 PM - 07:00 PM
1918,ANT,461,01,"Jones, Terry L.",N/A N/A - N/A
1937,ANT,461,02,"Neill, Dawn Brown",N/A N/A - N/A
1944,ANT,461,03,"Rucas, Stacey",N/A N/A - N/A
1923,ANT,461,04,"Carrigan, Coleen M.",N/A N/A - N/A
1938,ANT,462,02,"Neill, Dawn Brown",N/A N/A - N/A
1945,ANT,462,03,"Rucas, Stacey",N/A N/A - N/A
1946,ANT,465,01,"Rucas, Stacey",N/A N/A - N/A
812,ARCE,211,01,"Esola, Mario Augusto",MW 07:10 AM - 08:00 AM
813,ARCE,211,02,"Esola, Mario Augusto",R 12:10 PM - 02:00 PM
788,ARCE,211,04,"McDaniel, Cole C.",MW 09:10 AM - 10:00 AM
789,ARCE,211,05,"McDaniel, Cole C.",F 08:10 AM - 10:00 AM
790,ARCE,211,07,"McDaniel, Cole C.",F 12:10 PM - 02:00 PM
814,ARCE,211,08,"Esola, Mario Augusto",F 10:10 AM - 12:00 PM
776,ARCE,212,01,"Brady, Pamalee A.",MWF 01:10 PM - 02:00 PM
767,ARCE,212,02,"Baltimore, Craig V.",MWF 08:10 AM - 09:00 AM
768,ARCE,212,04,"Baltimore, Craig V.",MWF 09:10 AM - 10:00 AM
817,ARCE,212,05,"Hafez, Dahlia Hisham",MWF 10:10 AM - 11:00 AM
832,ARCE,212,06,"Tarantino, Jon E.",MWF 10:10 AM - 11:00 AM
833,ARCE,212,07,"Tarantino, Jon E.",MWF 09:10 AM - 10:00 AM
2780,ARCE,212,08,"Devaney, Kevin T.",MWF 11:10 AM - 12:00 PM
834,ARCE,212,09,"Tarantino, Jon E.",MWF 11:10 AM - 12:00 PM
835,ARCE,226,01,"Tarantino, Jon E.",TR 09:40 AM - 11:00 AM
836,ARCE,226,03,"Tarantino, Jon E.",MWF 08:10 AM - 09:00 AM
824,ARCE,257,01,"Meadows, Jessica Marie",W 11:10 AM - 12:00 PM
825,ARCE,257,02,"Meadows, Jessica Marie",W 06:10 PM - 09:00 PM
826,ARCE,257,03,"Meadows, Jessica Marie",R 06:10 PM - 09:00 PM
827,ARCE,257,04,"Meadows, Jessica Marie",W 12:10 PM - 03:00 PM
805,ARCE,260,02,"Saliklis, Edmond P.",MW 08:10 AM - 10:00 AM
828,ARCE,302,01,"Popescu, Radu",MWF 12:10 PM - 01:00 PM
796,ARCE,303,01,"Nelson, Jill Kathryn",MWF 01:10 PM - 02:00 PM
797,ARCE,303,02,"Nelson, Jill Kathryn",MWF 02:10 PM - 03:00 PM
793,ARCE,304,01,"Mwangi, James P.",MWF 02:10 PM - 03:00 PM
784,ARCE,305,01,"Lawson, John Weaver",R 01:10 PM - 03:00 PM
769,ARCE,306,01,"Baltimore, Craig V.",MWF 11:10 AM - 12:00 PM
777,ARCE,315,01,"Brady, Pamalee A.",TR 09:10 AM - 11:00 AM
778,ARCE,315,02,"Brady, Pamalee A.",TR 02:10 PM - 04:00 PM
808,ARCE,315,03,"Smith, Erling Aastrup",TR 09:10 AM - 11:00 AM
815,ARCE,315,04,"Esola, Mario Augusto",TR 09:10 AM - 11:00 AM
816,ARCE,315,05,"Esola, Mario Augusto",TR 02:10 PM - 04:00 PM
829,ARCE,352,01,"Popescu, Radu",M 03:10 PM - 06:00 PM
830,ARCE,352,02,"Popescu, Radu",W 03:10 PM - 06:00 PM
770,ARCE,353,01,"Baltimore, Craig V.",T 08:10 AM - 11:00 AM
771,ARCE,353,02,"Baltimore, Craig V.",T 12:10 PM - 03:00 PM
781,ARCE,354,01,"Laursen, Peter T.",T 08:10 AM - 11:00 AM
772,ARCE,354,02,"Behrouzi, Anahid Anousheh",R 12:10 PM - 03:00 PM
773,ARCE,354,03,"Behrouzi, Anahid Anousheh",T 03:10 PM - 06:00 PM
782,ARCE,354,04,"Laursen, Peter T.",R 03:10 PM - 06:00 PM
785,ARCE,371,01,"Lawson, John Weaver",MWF 08:10 AM - 11:00 AM
798,ARCE,371,02,"Nelson, Jill Kathryn",MWF 08:10 AM - 11:00 AM
806,ARCE,400,02,"Saliklis, Edmond P.",N/A N/A - N/A
783,ARCE,412,01,"Laursen, Peter T.",MWF 12:10 PM - 01:00 PM
774,ARCE,412,02,"Behrouzi, Anahid Anousheh",MWF 11:10 AM - 12:00 PM
807,ARCE,415,01,"Saliklis, Edmond P.",MWF 12:10 PM - 04:00 PM
810,ARCE,421,01,"Down, Robert W.",MW 07:10 AM - 08:00 AM
535,ARCE,421,02,"Raio, Larry E.",T 04:10 PM - 07:00 PM
536,ARCE,421,03,"Raio, Larry E.",T 12:10 PM - 03:00 PM
537,ARCE,421,04,"Raio, Larry E.",M 04:10 PM - 07:00 PM
811,ARCE,421,05,"Down, Robert W.",MW 08:10 AM - 09:00 AM
818,ARCE,421,07,"Hafez, Dahlia Hisham",F 01:10 PM - 04:00 PM
819,ARCE,422,01,"Hafez, Dahlia Hisham",MWF 09:10 AM - 10:00 AM
820,ARCE,422,02,"Hafez, Dahlia Hisham",MWF 12:10 PM - 01:00 PM
791,ARCE,444,01,"McDaniel, Cole C.",MWF 11:10 AM - 12:00 PM
792,ARCE,444,02,"McDaniel, Cole C.",T 12:10 PM - 03:00 PM
801,ARCE,448,01,"Nuttall, Gordon B.",MWF 12:10 PM - 03:00 PM
809,ARCE,452,01,"Bashaw, Dennis Keith",MWF 08:10 AM - 11:00 AM
794,ARCE,452,02,"Mwangi, James P.",MWF 08:10 AM - 11:00 AM
968,ARCE,452,03,"Dong, Kevin J.",MWF 08:10 AM - 11:00 AM
802,ARCE,452,04,"Nuttall, Gordon B.",MWF 09:10 AM - 12:00 PM
799,ARCE,453,01,"Nelson, Jill Kathryn",N/A N/A - N/A
910,ARCE,476,01,"Knight, Daniel Jack",TR 09:40 AM - 11:00 AM
765,ARCE,503,01,"Archer, Graham C.",TR 09:40 AM - 11:00 AM
779,ARCE,504,03,"Laursen, Peter T.",MW 09:10 AM - 10:30 AM
780,ARCE,598,01,"Laursen, Peter T.",N/A N/A - N/A
766,ARCE,598,03,"Archer, Graham C.",N/A N/A - N/A
800,ARCE,598,04,"Nuttall, Gordon B.",N/A N/A - N/A
803,ARCE,598,05,"Saliklis, Edmond P.",N/A N/A - N/A
795,ARCE,598,06,"Nelson, Jill Kathryn",N/A N/A - N/A
786,ARCE,P211,04,"McDaniel, Cole C.",MW 09:10 AM - 10:00 AM
787,ARCE,P211,07,"McDaniel, Cole C.",F 12:10 PM - 02:00 PM
775,ARCE,P212,01,"Brady, Pamalee A.",MWF 01:10 PM - 02:00 PM
822,ARCE,P257,01,"Meadows, Jessica Marie",W 11:10 AM - 12:00 PM
823,ARCE,P257,04,"Meadows, Jessica Marie",W 12:10 PM - 03:00 PM
804,ARCE,P260,02,"Saliklis, Edmond P.",MW 08:10 AM - 10:00 AM
958,ARCH,101,01,"Lucas, Michael A.",F 08:10 AM - 09:00 AM
720,ARCH,132,01,"Freeby, Brent J.",MWF 09:10 AM - 12:00 PM
706,ARCH,132,02,"Shields, Jennifer Ann Evans",MWF 12:10 PM - 03:00 PM
714,ARCH,132,03,"White, Emily Ashton",MWF 09:10 AM - 12:00 PM
742,ARCH,132,04,"Norman, Humberto Lauro",MWF 09:10 AM - 12:00 PM
743,ARCH,132,05,"Norman, Humberto Lauro",MWF 12:10 PM - 03:00 PM
755,ARCH,132,06,"Wiley, Keith A.",MWF 12:10 PM - 03:00 PM
740,ARCH,132,07,"Moore, Laura JoAnn",MWF 12:10 PM - 03:00 PM
717,ARCH,132,08,"Brockett, Ryan M.",MWR 03:10 PM - 06:00 PM
756,ARCH,132,09,"Wiley, Keith A.",MWR 03:10 PM - 06:00 PM
741,ARCH,132,10,"Moore, Laura JoAnn",MWR 03:10 PM - 06:00 PM
691,ARCH,218,01,"Kuhn-Choi, Don Hoon",TR 09:10 AM - 11:00 AM
715,ARCH,218,02,"Yip, Christopher L.",TR 02:10 PM - 04:00 PM
678,ARCH,242,01,"Arens, Robert M.",TR 12:10 PM - 01:00 PM
716,ARCH,242,02,"Bracco, Angela R.",TR 04:10 PM - 06:00 PM
749,ARCH,242,03,"Washington, Jermaine Ebon",TR 02:10 PM - 04:00 PM
744,ARCH,242,04,"Pedone, Margaret Ann",TR 04:10 PM - 06:00 PM
738,ARCH,242,05,"Magner, Jeremy M.",TR 04:10 PM - 06:00 PM
750,ARCH,242,06,"Washington, Jermaine Ebon",TR 04:10 PM - 06:00 PM
747,ARCH,242,07,"Slowik, Theodore",TR 04:10 PM - 06:00 PM
730,ARCH,242,08,"Kirk, Margaret Anne",TR 04:10 PM - 06:00 PM
734,ARCH,242,09,"Macdonald, Kent M.",TR 04:10 PM - 06:00 PM
757,ARCH,242,10,"Williams, Barry L.",TR 02:10 PM - 04:00 PM
718,ARCH,242,12,"Brooks, Kelle Rene",TR 02:10 PM - 04:00 PM
758,ARCH,252,02,"Winter, Margaret E.",MWF 01:10 PM - 06:00 PM
697,ARCH,252,03,"Olsen, Clare J.",MWF 01:10 PM - 06:00 PM
745,ARCH,252,04,"Pedone, Margaret Ann",MWF 01:10 PM - 06:00 PM
739,ARCH,252,05,"Magner, Jeremy M.",MWF 01:10 PM - 06:00 PM
751,ARCH,252,06,"Washington, Jermaine Ebon",MWF 01:10 PM - 06:00 PM
748,ARCH,252,07,"Slowik, Theodore",MWF 01:10 PM - 06:00 PM
727,ARCH,252,08,"Jaggia, Chandrika V.",MWF 01:10 PM - 06:00 PM
735,ARCH,252,09,"Macdonald, Kent M.",MWF 01:10 PM - 06:00 PM
713,ARCH,252,10,"Trudell, Carmen Gayle",MWF 01:10 PM - 06:00 PM
719,ARCH,252,12,"Brooks, Kelle Rene",MWF 01:10 PM - 06:00 PM
708,ARCH,307,01,"Stannard, Sandra J.",TR 01:10 PM - 02:00 PM
702,ARCH,307,02,"Ponitz, Jeffrey A.",MW 05:10 PM - 06:00 PM
728,ARCH,307,03,"Killing, Ansgar M.",MW 05:10 PM - 06:00 PM
759,ARCH,307,04,"Wynn, Gregory",MW 12:10 PM - 01:00 PM
692,ARCH,307,05,"Lange, John H.",MW 05:10 PM - 06:00 PM
